date_local,Carbon monoxide,Lead (TSP) LC,Nitrogen dioxide (NO2),Ozone,PM10 Total 0-10um STP,PM2.5 - Local Conditions,Sulfur dioxide,daily_max_aqi,daily_avg_temp
2015-03-26,0.495833,0.013,30.473913,0.031353,36.0,6.9,0.3125,55.0,247.0
2015-03-27,0.583333,0.013,37.46087,0.037,36.0,11.7,0.517391,90.0,247.5
2015-03-28,0.4875,0.013,27.813043,0.03,36.0,14.3,0.373913,61.0,216.5
2015-03-29,0.470833,0.005,20.178261,0.037294,36.0,15.9,0.143478,64.0,194.5
2015-03-30,0.491667,0.005,21.690909,0.038235,36.0,19.3,0.208333,70.0,197.5
2015-03-31,0.425,0.005,26.068182,0.035294,36.0,24.3,0.181818,79.0,183.5
2015-04-01,0.254167,0.005,16.73913,0.040294,17.0,12.7,0.095833,58.0,188.5
2015-04-02,0.341667,0.005,25.913043,0.034471,17.0,11.7,0.1875,67.0,180.5
2015-04-03,0.433333,0.005,26.03913,0.046647,17.0,9.3,0.178261,77.0,219.5
2015-04-04,0.3375,0.002,22.952174,0.047647,17.0,10.2,0.441667,97.0,219.5
2015-04-05,0.245833,0.002,11.327273,0.046353,17.0,12.3,0.058333,74.0,178.0
2015-04-06,0.175,0.002,12.481818,0.040882,17.0,5.6,0.05,49.0,155.5
2015-04-08,0.283333,0.002,20.191304,0.027765,17.0,5.6,0.029167,47.0,152.5
2015-04-10,0.354167,0.003,19.990909,0.043824,20.0,9.1,0.133333,64.0,169.5
2015-04-11,0.295833,0.003,19.240909,0.042824,20.0,8.3,0.252174,67.0,169.5
2015-04-12,0.333333,0.003,14.309091,0.047941,20.0,8.6,0.147826,97.0,194.5
2015-04-13,0.3,0.003,15.804545,0.042059,20.0,13.4,0.091304,59.0,191.5
2015-04-14,0.204167,0.003,17.477273,0.035471,20.0,15.0,0.117391,62.0,186.0
2015-04-15,0.379167,0.003,28.036364,0.036294,20.0,12.9,0.220833,80.0,203.0
2015-04-16,0.520833,0.0055,30.25,0.039588,37.0,9.4,0.234783,80.0,197.0
2015-04-17,0.4625,0.0055,30.463636,0.040235,37.0,9.9,0.277273,74.0,202.5
2015-04-18,0.420833,0.0055,21.9,0.056143,37.0,12.6,0.465217,87.0,202.5
2015-04-19,0.414286,0.0055,13.7,0.053071,37.0,14.8,0.3,84.0,183.5
2015-04-20,0.352381,0.0055,13.766667,0.049143,37.0,13.4,0.078261,59.0,169.5
2015-04-21,0.3,0.0055,11.433333,0.048929,37.0,10.2,0.03913,53.0,169.0
2015-04-22,0.3,0.0035,13.747619,0.042429,13.0,9.2,0.034783,51.0,172.5
2015-04-23,0.341176,0.0035,14.104762,0.042706,13.0,7.4,0.022727,44.0,167.0
2015-04-24,0.295833,0.0035,12.521739,0.039353,13.0,6.7,-0.008696,40.0,166.5
2015-04-25,0.295833,0.0035,11.386957,0.027,13.0,7.7,-0.011765,43.0,161.0
2015-04-26,0.358333,0.0035,13.182609,0.035647,13.0,9.4,0.013043,52.0,186.0
2015-04-27,0.425,0.0035,23.23913,0.042353,13.0,9.5,0.091304,90.0,208.5
2015-04-28,0.4875,0.0095,32.65,0.040882,39.0,9.0,0.459091,101.0,247.0
2015-04-29,0.621429,0.0095,40.058824,0.0211,39.0,13.8,0.26087,78.0,236.5
2015-04-30,0.583333,0.0095,28.270588,0.027385,39.0,15.6,0.245,66.0,228.0
2015-05-01,0.654167,0.0095,28.477273,0.027941,39.0,15.6,0.06,63.0,214.0
2015-05-02,0.65,0.0095,21.536364,0.043176,39.0,16.0,0.115385,64.0,208.5
2015-05-03,0.333333,0.0095,8.227273,0.043412,39.0,13.5,0.011111,59.0,188.5
2015-05-04,0.3375,0.008,11.245455,0.042588,21.0,8.8,-0.016667,49.0,169.5
2015-05-05,0.304167,0.008,12.013636,0.036706,21.0,8.5,-0.04375,47.0,169.0
2015-05-06,0.333333,0.008,13.042857,0.0445,21.0,9.1,-0.071429,53.0,169.0
2015-05-07,0.304762,0.008,9.490909,0.038588,21.0,10.1,-0.1,53.0,152.5
2015-05-08,0.37,0.008,12.566667,0.030353,21.0,9.3,-0.072727,51.0,136.0
2015-05-09,0.425,0.008,14.986364,0.026176,21.0,13.9,0.213043,60.0,167.0
2015-05-10,0.533333,0.005,13.486364,0.036059,29.0,13.6,-0.013636,59.0,172.0
2015-05-11,0.541667,0.005,18.463636,0.036882,29.0,14.1,-0.01,60.0,191.5
2015-05-12,0.341667,0.005,13.754545,0.042118,29.0,12.3,-0.075,57.0,180.5
2015-05-13,0.3,0.005,12.33913,0.041765,29.0,12.2,-0.08,57.0,175.0
2015-05-14,0.304167,0.005,16.773913,0.031176,29.0,6.2,0.0125,35.0,158.5
2015-05-15,0.366667,0.005,14.236364,0.032059,29.0,6.5,-0.066667,44.0,158.5
2015-05-16,0.35,0.004,11.586957,0.036941,29.0,8.2,-0.09,46.0,175.0
2015-05-17,0.333333,0.004,8.582609,0.044882,18.0,9.7,-0.1,52.0,183.0
2015-05-18,0.3,0.004,11.834783,0.035529,18.0,6.8,-0.1,45.0,186.5
2015-05-19,0.341667,0.004,14.586364,0.034588,18.0,7.5,0.01,44.0,180.5
2015-05-20,0.370833,0.004,16.722727,0.037706,18.0,8.8,-0.044444,49.0,180.5
2015-05-21,0.304167,0.004,11.791304,0.037882,18.0,6.3,-0.014286,43.0,178.0
2015-05-22,0.3,0.002,9.286957,0.034294,18.0,5.3,-0.09375,37.0,172.5
2015-05-23,0.304167,0.002,9.66087,0.039647,13.0,5.9,-0.042857,42.0,178.0
2015-05-24,0.3,0.002,5.886364,0.042,13.0,8.5,-0.1,47.0,177.5
2015-05-25,0.3,0.002,8.630435,0.042,13.0,10.2,0.0,53.0,178.0
2015-05-27,0.3125,0.002,10.726316,0.037267,13.0,13.6,-0.1,59.0,183.0
2015-05-28,0.366667,0.0045000000000000005,16.247826,0.035471,33.0,12.5,0.006667,57.0,189.0
2015-05-29,0.433333,0.0045000000000000005,19.047826,0.038412,33.0,17.3,0.015385,67.0,197.0
2015-05-30,0.4625,0.0045000000000000005,15.969565,0.042412,33.0,21.7,0.025,75.0,200.0
2015-05-31,0.345833,0.0045000000000000005,8.973913,0.049882,33.0,15.9,-0.026667,87.0,189.0
2015-06-01,0.329167,0.0045000000000000005,13.521739,0.037647,33.0,13.6,0.005882,61.0,194.5
2015-06-02,0.3375,0.0045000000000000005,16.054545,0.028647,33.0,7.8,0.077273,43.0,200.0
2015-06-03,0.3,0.006500000000000001,12.13913,0.033118,23.0,8.0,-0.072727,44.0,197.0
2015-06-04,0.320833,0.006500000000000001,16.365217,0.030235,23.0,10.0,-0.019048,53.0,186.0
2015-06-05,0.3,0.006500000000000001,11.081818,0.035941,23.0,8.4,-0.016667,51.0,192.0
2015-06-06,0.3,0.006500000000000001,9.021739,0.035,23.0,7.1,-0.05,43.0,183.0
2015-06-08,0.5625,0.006500000000000001,24.972727,0.036294,23.0,13.0,-0.023529,71.0,225.0
2015-06-09,0.479167,0.0055,16.668182,0.032588,16.0,8.3,-0.021429,46.0,233.5
2015-06-10,0.358333,0.0055,12.226087,0.030059,16.0,10.4,-0.073684,53.0,197.5
2015-06-11,0.375,0.0055,13.909091,0.031353,16.0,9.2,-0.058824,51.0,203.0
2015-06-12,0.370833,0.0055,15.630435,0.026176,16.0,12.8,-0.058824,58.0,197.0
2015-06-13,0.35,0.0055,10.486957,0.030765,16.0,7.5,-0.073913,42.0,197.0
2015-06-14,0.370833,0.0055,8.995652,0.040353,16.0,10.1,-0.089474,53.0,211.0
2015-06-15,0.429167,0.010499999999999999,16.382609,0.031235,42.0,12.6,-0.05,58.0,211.5
2015-06-16,0.483333,0.010499999999999999,21.327273,0.039588,42.0,19.0,0.066667,69.0,211.0
2015-06-17,0.470833,0.010499999999999999,21.643478,0.048529,42.0,21.9,0.282609,97.0,211.5
2015-06-18,0.529167,0.010499999999999999,23.004545,0.034882,42.0,18.5,0.0,84.0,219.5
2015-06-19,0.65,0.010499999999999999,30.982609,0.037882,42.0,19.0,0.329167,112.0,211.0
2015-06-20,0.5125,0.010499999999999999,19.065217,0.044706,42.0,19.5,0.445833,112.0,233.0
2015-06-21,0.358333,0.013,10.631818,0.036941,40.0,19.1,0.058333,70.0,228.0
2015-06-22,0.458333,0.013,20.027273,0.034353,40.0,14.3,0.620833,61.0,225.0
2015-06-23,0.429167,0.013,20.65,0.035353,40.0,14.6,0.331818,66.0,230.5
2015-06-24,0.420833,0.013,23.686957,0.035235,40.0,17.7,0.45,67.0,227.5
2015-06-25,0.408333,0.013,18.481818,0.035471,40.0,17.1,0.304348,66.0,219.5
2015-06-26,0.4,0.013,14.995455,0.027471,40.0,12.2,-0.026087,57.0,206.0
2015-06-27,0.4,0.0195,19.240909,0.011647,38.0,10.1,0.266667,53.0,208.5
2015-06-28,0.483333,0.0195,18.113043,0.027471,38.0,10.7,0.516667,54.0,247.0
2015-06-29,0.433333,0.0195,22.254545,0.029706,38.0,11.4,0.6,59.0,264.0
2015-06-30,0.49375,0.0195,30.258333,0.02,38.0,11.8,0.4375,56.0,255.5
2015-07-01,0.489474,0.0195,22.25,0.024471,38.0,11.9,0.35,56.0,241.5
2015-07-02,0.404167,0.0195,15.6375,0.025647,38.0,8.8,0.181818,49.0,233.0
2015-07-03,0.354167,0.010499999999999999,13.583333,0.027176,24.0,10.6,0.133333,54.0,219.5
2015-07-04,0.3,0.010499999999999999,10.220833,0.027588,24.0,16.9,0.145833,66.0,216.5
2015-07-05,0.3,0.010499999999999999,7.5125,0.033588,24.0,17.7,0.020833,71.0,208.5
2015-07-06,0.354167,0.010499999999999999,10.604167,0.028588,24.0,10.0,-0.075,53.0,208.5
2015-07-07,0.4,0.010499999999999999,15.695833,0.030118,24.0,11.0,-0.0375,55.0,216.5
2015-07-08,0.333333,0.010499999999999999,13.091667,0.025765,24.0,7.8,-0.05,43.0,214.0
2015-07-09,0.316667,0.0095,11.291667,0.019059,13.0,9.1,0.004167,51.0,211.0
2015-07-10,0.291667,0.0095,12.075,0.020765,13.0,5.0,0.03913,28.0,205.5
2015-07-11,0.308333,0.0095,11.075,0.024235,13.0,4.6,0.033333,35.0,214.0
